,Paper         ,DOI,TC,TCperYear,NTC,Enfoque,,Modo,Disrupcion,Carga/Pasajeros,Fase
61,"CHEN H, 2017, TRANSP RES PT E-LOGIST TRANSP REV                                                         ",10.1016/j.tre.2016.10.008       ,21,4.2,2.322,,,,,,
62,"TESTA AC, 2015, TRANSP RES RECORD                                                                       ",10.3141/2532-04                 ,21,3,0.702,,,,,,
63,"DE OLIVEIRA EL, 2016, TRANSP RES PT A-POLICY PRACT                                                      ",10.1016/j.tra.2016.04.004       ,20,3.33,1.225,,,,,,
64,"ZHU Y, 2016, TRANSP RES RECORD                                                                          ",10.3141/2599-09                 ,20,3.33,1.225,,,,,,
65,"LI N, 2018, TRANSPORT RES PART D-TRANSPORT ENVIRON                                                      ",10.1016/j.trd.2015.12.014       ,19,4.75,2.206,,,,,,
66,"ASADABADI A, 2017, TRANSP RES PT B-METHODOL                                                             ",10.1016/j.trb.2016.12.023       ,19,3.8,2.101,,,,,,
67,"KIM S, 2017, TRANSPORTMETRICA A                                                                         ",10.1080/23249935.2016.1231231   ,19,3.8,2.101,,,,,,
68,"STAMOS I, 2015, TRANSPORT RES PART D-TRANSPORT ENVIRON                                                  ",10.1016/j.trd.2014.11.002       ,19,2.71,0.635,,,,,,
69,"FERRANTI E, 2016, WEATHER CLIM SOC                                                                      ",10.1175/WCAS-D-15-0068.1        ,19,3.17,1.164,,,,,,
70,"DVORAK Z, 2017, TRANSBALTICA 2017: TRANSPORTATION SCIENCE AND TECHNOLOGY                                ",10.1016/j.proeng.2017.04.413    ,18,3.6,1.991,,,,,,
71,"ZHONG L, 2017, SUSTAINABLE CITIES SOC                                                                   ",10.1016/j.scs.2016.08.020       ,18,3.6,1.991,,,,,,
72,"SADRI AM, 2018, TRANSP RES RECORD                                                                       ",10.1177/0361198118773896        ,17,4.25,1.974,,,,,,
73,"MORSHEDLOU N, 2018, TRANSP RES PT B-METHODOL                                                            ",10.1016/j.trb.2018.10.001       ,17,4.25,1.974,,,,,,
74,"JIANG R, 2018, J TRANSP GEOGR                                                                           ",10.1016/j.jtrangeo.2017.09.009  ,17,4.25,1.974,,,,,,
75,"WANG Y, 2015, TRANSPORTMETRICA A                                                                        ",10.1080/23249935.2015.1087234   ,17,2.43,0.568,,,,,,
76,"TIRACHINI A, 2020, J PUBL TRANSP                                                                        ",10.5038/2375-091.22.1.1         ,16,8,9.783,,,,,,
77,"FAHIMNIA B, 2018, TRANSP RES PT E-LOGIST TRANSP REV                                                     ",10.1016/j.tre.2018.09.005       ,16,4,1.858,,,,,,
78,"YANG Y, 2015, TRANSP RES PT E-LOGIST TRANSP REV                                                         ",10.1016/j.tre.2015.02.007       ,16,2.29,0.535,,,,,,
79,"WINKELMAN S, 2010, TRANSP RES PT A-POLICY PRACT                                                         ",10.1016/j.tra.2010.03.011       ,16,1.33,0.787,,,,,,
80,"JAROSZWESKI D, 2014, PROG PHYS GEOGR                                                                    ",10.1177/0309133314538741        ,16,2,0.484,,,,,,
81,"NIAN G, 2019, TRANSPORTMETRICA A                                                                        ",10.1080/23249935.2019.1599080   ,15,5,2.737,,,,,,
82,"QIAO Y, 2015, TRANSPORT RES PART D-TRANSPORT ENVIRON                                                    ",10.1016/j.trd.2015.09.019       ,15,2.14,0.501,,,,,,
83,"CHOI JH, 2019, TRANSP RES PART A POLICY PRACT                                                           ",10.1016/j.tra.2019.03.008       ,15,5,2.737,,,,,,
84,"LIU J, 2017, SUSTAINABILITY                                                                             ",10.3390/su9081479               ,15,3,1.659,,,,,,
85,"HOU Y, 2018, TRANSP RES PT E-LOGIST TRANSP REV                                                          ",10.1016/j.tre.2018.07.001       ,14,3.5,1.626,,,,,,
86,"KNOTT JF, 2017, TRANSP RES RECORD                                                                       ",10.3141/2639-01                 ,14,2.8,1.548,,,,,,
87,"ESPINET X, 2016, TRANSP POLICY                                                                          ",10.1016/j.tranpol.2016.06.003   ,14,2.33,0.858,,,,,,
88,"PAPANGELIS K, 2016, RES TRANSP BUS MANAG                                                                ",10.1016/j.rtbm.2016.01.002      ,14,2.33,0.858,,,,,,
89,"OSEI-ASAMOAH A, 2014, TRANSP RES RECORD                                                                 ",10.3141/2467-13                 ,14,1.75,0.423,,,,,,
90,"CHEN Z, 2018, TRANSPORTATION                                                                            ",10.1007/s11116-017-9819-6       ,14,3.5,1.626,,,,,,
91,"YANG Y, 2018, TRANSP RES PT B-METHODOL                                                                  ",10.1016/j.trb.2017.10.007       ,13,3.25,1.51,,,,,,
92,"BAGLOEE SA, 2017, TRANSP RES PT E-LOGIST TRANSP REV                                                     ",10.1016/j.tre.2016.12.003       ,13,2.6,1.438,,,,,,
93,"JOEWONO TB, 2016, TRANSP POLICY                                                                         ",10.1016/j.tranpol.2016.04.009   ,13,2.17,0.796,,,,,,
94,"TURAN O, 2016, TRANSPORT RESEARCH ARENA TRA2016                                                         ",10.1016/j.trpro.2016.05.132     ,13,2.17,0.796,,,,,,
95,"NIELSEN TAS, 2015, RES TRANSP ECON                                                                      ",10.1016/j.retrec.2015.07.003    ,13,1.86,0.434,,,,,,
96,"MEIJER S, 2012, TRANSPORT RESEARCH ARENA 2012                                                           ",10.1016/j.sbspro.2012.06.986    ,13,1.3,0.484,,,,,,
97,"RENDALL S, 2011, TRANSP RES RECORD                                                                      ",10.3141/2242-09                 ,13,1.18,0.404,,,,,,
98,"REGGIANI A, 2012, ACCESSIBILITY ANALYSIS AND TRANSPORT PLANNING: CHALLENGES FOR EUROPE AND NORTH AMERICA",NA                              ,13,1.3,0.484,,,,,,
99,"GAUTHIER P, 2018, TRANSP RES RECORD                                                                     ",10.1177/0361198118792115        ,12,3,1.394,,,,,,
100,"LOH HS, 2016, MARIT POLICY MANAG                                                                        ",10.1080/03088839.2015.1107921   ,12,2,0.735,,,,,,
